symbol,timeframe,date,direction,entry,stop_loss,take_profit,result,profit,r_multiple,exit_date,exit_price,position_size
NIFTY,15m,2026-04-09 09:15:00+05:30,bearish,23944.0,24024.5,23622.0,LOSS,-1000.0,-1.0,2026-04-10 10:15:00+05:30,24024.5,12.42236
NIFTY,15m,2026-04-17 12:45:00+05:30,bearish,24260.25,24322.25,24012.25,LOSS,-990.0,-1.0,2026-04-17 14:15:00+05:30,24322.25,15.967742
NIFTY,15m,2026-04-22 09:30:00+05:30,bearish,24437.75,24600.849609,23785.351562,WIN,3920.4,4.0,2026-05-12 09:15:00+05:30,23785.351562,6.009211
NIFTY,15m,2026-04-22 15:00:00+05:30,bearish,24390.699219,24458.25,24120.496094,WIN,4077.22,4.0,2026-04-24 09:15:00+05:30,24120.496094,15.089448
NIFTY,15m,2026-04-29 09:30:00+05:30,bullish,24122.400391,23958.050781,24779.798828,LOSS,-1060.08,-1.0,2026-04-30 09:15:00+05:30,23958.050781,6.450129
NIFTY,15m,2026-05-07 14:45:00+05:30,bearish,24324.550781,24481.949219,23694.957031,WIN,4197.9,4.0,2026-05-12 09:15:00+05:30,23694.957031,6.667635
NIFTY,15m,2026-05-22 14:00:00+05:30,bearish,23782.5,23835.599609,23570.101562,LOSS,-1091.45,-1.0,2026-05-25 09:15:00+05:30,23835.599609,20.554848
NIFTY,15m,2026-05-29 09:45:00+05:30,bearish,23872.900391,23998.699219,23369.705078,WIN,4322.16,4.0,2026-06-01 14:45:00+05:30,23369.705078,8.589427
NIFTY,15m,2026-06-10 13:30:00+05:30,bearish,23371.75,23424.800781,23159.546875,WIN,4495.05,4.0,2026-06-11 09:15:00+05:30,23159.546875,21.182751
NIFTY,15m,2026-06-15 11:15:00+05:30,bearish,23966.300781,24009.099609,23795.105469,LOSS,-1168.71,-1.0,2026-06-17 09:15:00+05:30,24009.099609,27.307103
NIFTY,15m,2026-06-18 10:30:00+05:30,bearish,24103.699219,24139.400391,23960.894531,LOSS,-1157.02,-1.0,2026-06-18 15:00:00+05:30,24139.400391,32.408597
NIFTY,15m,2026-06-19 12:15:00+05:30,bullish,23968.300781,23937.449219,24091.707031,LOSS,-1145.45,-1.0,2026-06-19 12:30:00+05:30,23937.449219,37.127932
NIFTY,15m,2026-06-19 15:15:00+05:30,bullish,24042.400391,23902.0,24604.001953,LOSS,-1134.0,-1.0,2026-06-23 13:30:00+05:30,23902.0,8.076902
BANKNIFTY,15m,2026-04-10 10:45:00+05:30,bearish,55739.648438,55928.75,54983.242188,LOSS,-1000.0,-1.0,2026-04-10 13:45:00+05:30,55928.75,5.288164
BANKNIFTY,15m,2026-04-16 09:45:00+05:30,bearish,56494.898438,56832.898438,55142.898438,LOSS,-990.0,-1.0,2026-04-21 09:15:00+05:30,56832.898438,2.928994
BANKNIFTY,15m,2026-04-17 10:15:00+05:30,bullish,56266.851562,55853.648438,57919.664062,LOSS,-980.1,-1.0,2026-04-24 09:45:00+05:30,55853.648438,2.371957
BANKNIFTY,15m,2026-04-22 09:15:00+05:30,bearish,57311.648438,57455.351562,56736.835938,WIN,3881.2,4.0,2026-04-23 09:15:00+05:30,56736.835938,6.752108
BANKNIFTY,15m,2026-04-24 14:30:00+05:30,bullish,55977.699219,55757.050781,56860.292969,LOSS,-1009.11,-1.0,2026-04-28 11:15:00+05:30,55757.050781,4.573388
BANKNIFTY,15m,2026-05-14 15:00:00+05:30,bearish,54175.601562,54391.550781,53311.804688,WIN,3996.08,4.0,2026-05-18 09:15:00+05:30,53311.804688,4.62618
BANKNIFTY,15m,2026-06-02 13:00:00+05:30,bullish,53822.648438,53135.800781,56570.039062,LOSS,-1038.98,-1.0,2026-06-03 09:30:00+05:30,53135.800781,1.51268
BANKNIFTY,15m,2026-06-10 13:45:00+05:30,bearish,55419.75,55554.648438,54880.15625,WIN,4114.36,4.0,2026-06-11 09:15:00+05:30,54880.15625,7.624928
BANKNIFTY,15m,2026-06-17 15:15:00+05:30,bullish,57603.699219,57460.949219,58174.699219,LOSS,-1069.73,-1.0,2026-06-23 12:15:00+05:30,57460.949219,7.493762
BANKNIFTY,15m,2026-06-18 14:30:00+05:30,bearish,57833.199219,57953.898438,57350.402344,LOSS,-1059.04,-1.0,2026-06-18 15:00:00+05:30,57953.898438,8.774184
BANKNIFTY,15m,2026-06-19 13:30:00+05:30,bullish,57545.351562,57465.101562,57866.351562,WIN,4193.79,4.0,2026-06-22 09:15:00+05:30,57866.351562,13.064758
BANKNIFTY,15m,2026-06-23 09:15:00+05:30,bearish,57870.949219,58008.449219,57320.949219,WIN,4361.54,4.0,2026-06-23 13:30:00+05:30,57320.949219,7.930071
